Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Unnamed: 8
CEPQ.S611,1989.12,456.670842,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1990.03,458.954197,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1990.06,466.717601,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1990.09,462.607563,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1990.12,467.174272,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1991.03,471.284309,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1991.06,474.024334,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1991.09,474.937676,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1991.12,478.134372,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1992.03,483.157751,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1992.06,485.897776,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1992.09,490.007814,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1992.12,491.834497,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1993.03,494.117851,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1993.06,496.857876,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1993.09,500.511243,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1993.12,504.62128,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1994.03,505.534622,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1994.06,506.904635,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1994.09,508.274648,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1994.12,511.928014,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1995.03,514.211369,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1995.06,514.211369,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1995.09,516.038052,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1995.12,518.778077,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1996.03,518.778077,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1996.06,518.321406,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1996.09,517.408064,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1996.12,516.951393,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1997.03,514.211369,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1997.06,511.928014,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1997.09,511.471343,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1997.12,513.298027,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1998.03,511.928014,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1998.06,511.928014,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1998.09,511.928014,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1998.12,512.841356,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1999.03,512.384685,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1999.06,512.841356,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1999.09,514.668039,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,1999.12,517.756047,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2000.03,521.873392,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2000.06,524.9614,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2000.09,530.622748,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2000.12,542.460113,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2001.03,542.974781,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2001.06,545.033453,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2001.09,546.577458,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2001.12,549.150798,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2002.03,551.724138,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2002.06,552.753474,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2002.09,553.268142,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2002.12,554.297478,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2003.03,553.78281,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2003.06,556.35615,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2003.09,557.900154,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2003.12,563.046835,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2004.03,567.678847,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2004.06,576.942872,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2004.09,580.545548,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2004.12,585.17756,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2005.03,588.265569,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2005.06,593.926917,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2005.09,598.044262,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2005.12,602.161606,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2006.03,606.793618,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2006.06,614.513639,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2006.09,621.718991,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2006.12,626.865672,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2007.03,628.924344,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2007.06,631.497684,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2007.09,636.129696,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2007.12,641.276377,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2008.03,644.364385,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2008.06,651.05507,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2008.09,660.319094,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2008.12,667.524447,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2009.03,675.759135,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2009.06,677.817808,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2009.09,675.244467,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2009.12,673.700463,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2010.03,673.185795,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2010.06,673.700463,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2010.09,676.273803,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2010.12,671.641791,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2011.03,672.671127,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2011.06,676.273803,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2011.09,676.273803,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2011.12,678.847144,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.03,678.847144,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.06,682.964488,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.09,685.02316,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2012.12,685.02316,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.03,684.508492,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.06,688.111168,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.09,691.199176,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2013.12,694.801853,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.03,698.919197,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.06,703.55121,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
CEPQ.S611,2014.09,707.153886,FINAL,Index,Capital Goods Price Index - CEP,Price Index all groups of capital goods (Base: September quarter 2022 = 1000),All Groups,
